step,lr,loss_qfl,loss_bbox,loss_dfl,aux_loss_qfl,aux_loss_bbox,aux_loss_dfl
14100,0.000332,0.323365,0.435234,0.194785,0.283469,0.392142,0.185518
14150,0.000332,0.33982,0.285753,0.179277,0.30395,0.258715,0.168484
14200,0.000332,0.387225,0.386427,0.200423,0.368825,0.351115,0.190696
14250,0.000288,0.348521,0.293373,0.178354,0.296103,0.267383,0.171235
14300,0.000288,0.310119,0.396303,0.196131,0.274332,0.35974,0.185684
14350,0.000288,0.343987,0.329883,0.182061,0.307468,0.30228,0.174655
14400,0.000288,0.3434,0.412345,0.204363,0.326792,0.364868,0.189989
14450,0.000288,0.362465,0.314284,0.198853,0.320601,0.298269,0.191025
14500,0.000288,0.30593,0.304793,0.174139,0.267299,0.278589,0.165784
14550,0.000288,0.367546,0.34692,0.192811,0.331706,0.325907,0.185385
14600,0.000288,0.375158,0.35153,0.194216,0.339462,0.331427,0.185967
14650,0.000288,0.2811,0.37663,0.192534,0.235166,0.346661,0.184035
14700,0.000288,0.357153,0.408273,0.208564,0.311181,0.37369,0.198503
14750,0.000288,0.318807,0.325958,0.182809,0.287581,0.304957,0.17466
14800,0.000288,0.295162,0.352249,0.195809,0.257727,0.32705,0.187735
14850,0.000288,0.364861,0.325485,0.186841,0.323661,0.314331,0.177373
14900,0.000288,0.31699,0.39989,0.189206,0.278878,0.351662,0.174152
14950,0.000246,0.300347,0.36735,0.179435,0.273499,0.324537,0.170208
15000,0.000246,0.333332,0.337474,0.190449,0.277456,0.299789,0.177133
15050,0.000246,0.307826,0.324328,0.189171,0.270175,0.307292,0.18147
15100,0.000246,0.355839,0.373252,0.19571,0.331354,0.346283,0.185814
15150,0.000246,0.320881,0.352454,0.19833,0.288153,0.332138,0.188138
15200,0.000246,0.374744,0.300838,0.185314,0.301802,0.285303,0.17935
15250,0.000246,0.348444,0.346235,0.194672,0.303669,0.326577,0.185225
15300,0.000246,0.306714,0.428939,0.196614,0.272252,0.390674,0.189042
15350,0.000246,0.322083,0.344754,0.192201,0.274757,0.331849,0.187826
15400,0.000246,0.351845,0.28534,0.177435,0.314226,0.271595,0.173521
15450,0.000246,0.298825,0.40372,0.199117,0.257164,0.368011,0.188081
15500,0.000246,0.362187,0.304888,0.176997,0.313856,0.276715,0.168917
15550,0.000246,0.324875,0.383576,0.214893,0.293202,0.341648,0.202764
15600,0.000246,0.28036,0.2818,0.165777,0.253697,0.270542,0.164225
15650,0.000207,0.309752,0.363326,0.190005,0.278509,0.337025,0.182886
15700,0.000207,0.297908,0.348792,0.199927,0.277163,0.318004,0.191884
15750,0.000207,0.295882,0.311032,0.184182,0.2598,0.28525,0.17211
15800,0.000207,0.32605,0.376606,0.196439,0.299565,0.338987,0.184689
15850,0.000207,0.320675,0.312791,0.179929,0.28998,0.287736,0.17152
15900,0.000207,0.338651,0.292104,0.167269,0.293146,0.266357,0.157256
15950,0.000207,0.349446,0.296406,0.185274,0.297324,0.290047,0.181357
16000,0.000207,0.318471,0.412698,0.210059,0.311273,0.382535,0.202526
16050,0.000207,0.331263,0.378048,0.188305,0.297811,0.339399,0.177039
16100,0.000207,0.274036,0.308268,0.177571,0.252496,0.278873,0.167724
16150,0.000207,0.356626,0.323485,0.181397,0.308725,0.294789,0.170062
16200,0.000207,0.328646,0.444544,0.222505,0.29229,0.406194,0.209693
16250,0.000207,0.339412,0.336662,0.183677,0.304903,0.317932,0.176445
16300,0.000207,0.321078,0.327318,0.191574,0.286182,0.291924,0.180061
16350,0.000207,0.298146,0.271616,0.176483,0.25874,0.252964,0.168088
16400,0.000172,0.328704,0.340095,0.187359,0.31036,0.312939,0.180457
16450,0.000172,0.301346,0.298873,0.181234,0.26901,0.269836,0.17422
16500,0.000172,0.323256,0.372668,0.192586,0.30071,0.344686,0.183926
16550,0.000172,0.302914,0.332382,0.179918,0.271805,0.312443,0.171044
16600,0.000172,0.294779,0.373445,0.190239,0.268599,0.335702,0.181778
16650,0.000172,0.332689,0.34437,0.193725,0.314642,0.326543,0.188779
16700,0.000172,0.343342,0.367856,0.190714,0.306501,0.332307,0.179016
16750,0.000172,0.284724,0.366934,0.198426,0.244933,0.335228,0.187001
16800,0.000172,0.388947,0.332967,0.191267,0.345683,0.30467,0.180501
16850,0.000172,0.343058,0.267361,0.16832,0.29968,0.255333,0.166732
16900,0.000172,0.382624,0.330894,0.175915,0.333503,0.287359,0.165687
16950,0.000172,0.339844,0.333049,0.203194,0.292807,0.295666,0.190645
17000,0.000172,0.324201,0.345772,0.193679,0.283967,0.316734,0.185399
17050,0.000172,0.302066,0.304558,0.180829,0.271306,0.280722,0.173111
17100,0.000141,0.294409,0.337203,0.194287,0.259422,0.295171,0.181398
17150,0.000141,0.303331,0.352533,0.185968,0.268477,0.339873,0.18202
17200,0.000141,0.28764,0.323097,0.179767,0.252408,0.316315,0.177409
17250,0.000141,0.299825,0.341028,0.179794,0.270453,0.312456,0.171721
17300,0.000141,0.288798,0.385834,0.187819,0.253231,0.345213,0.178916
17350,0.000141,0.323726,0.321813,0.178413,0.292171,0.297907,0.169076
17400,0.000141,0.316034,0.364523,0.195971,0.28273,0.339324,0.186964
17450,0.000141,0.276057,0.343405,0.186751,0.240797,0.313456,0.178689
17500,0.000141,0.294547,0.382368,0.197639,0.266676,0.351857,0.193922
17550,0.000141,0.276973,0.279805,0.164579,0.239511,0.25794,0.158145
17600,0.000141,0.292844,0.345179,0.179265,0.249171,0.30279,0.169842
17650,0.000141,0.351852,0.31641,0.187849,0.312278,0.287615,0.17913
17700,0.000141,0.326059,0.285536,0.178517,0.300477,0.271664,0.175718
17750,0.000141,0.300314,0.334985,0.191552,0.259052,0.306337,0.183662
17800,0.000114,0.264781,0.345477,0.182853,0.235727,0.320485,0.176052
17850,0.000114,0.346278,0.350159,0.205256,0.314693,0.315713,0.193878
17900,0.000114,0.318881,0.349409,0.194194,0.281043,0.307222,0.184817
17950,0.000114,0.305987,0.313516,0.182268,0.266529,0.287454,0.174318
